macro_cluster,n_clusters,sample_benchmark,evaluated_images,Aligned_count,Unaligned_count,Uncertain_count,Aligned_pct,Unaligned_pct,Uncertain_pct,total_concepts,active
6,8,500,500,4,3,80,4.597701149425287,3.4482758620689653,91.95402298850574,87,True
7,8,500,500,1,51,126,0.5617977528089888,28.651685393258425,70.78651685393258,178,True
0,10,500,500,204,970,3627,4.249114767756717,20.204124140804,75.54676109143928,4801,True
1,10,500,500,325,648,569,21.076523994811932,42.023346303501945,36.900129701686126,1542,True
2,10,500,500,109,472,1537,5.146364494806422,22.285174693106704,72.56846081208688,2118,True
3,10,500,500,12,320,1029,0.881704628949302,23.512123438648054,75.60617193240265,1361,True
4,10,500,500,130,52,1118,10.0,4.0,86.0,1300,True
5,10,500,500,1,195,491,0.1455604075691412,28.38427947598253,71.47016011644833,687,True
6,10,500,500,4,3,80,4.597701149425287,3.4482758620689653,91.95402298850574,87,True
7,10,500,500,1,51,126,0.5617977528089888,28.651685393258425,70.78651685393258,178,True
8,10,500,500,29,240,393,4.380664652567976,36.25377643504532,59.3655589123867,662,True
9,10,500,500,128,9,123,49.23076923076923,3.4615384615384617,47.30769230769231,260,True
